,GLD,QQQ,SPY,TLT
2017-01-31,0.0,0.03345598103466919,0.6,0.36654401896533084
2017-02-28,7.025614635025411e-24,0.6,0.10069178220148065,0.2993082177985194
2017-03-31,2.1121748351288076e-23,0.6,0.10766643521077877,0.29233356478922123
2017-05-31,4.0718741990855536e-23,0.6,0.08917081938531378,0.31082918061468623
2017-06-30,0.0,0.6,0.08615427320475755,0.3138457267952425
2017-07-31,2.283380161728642e-23,0.6,0.0985431528952654,0.30145684710473464
2017-08-31,0.0,0.6,0.05889925079157185,0.34110074920842814
2017-10-31,5.113672587121668e-25,0.6,0.12130487636784483,0.27869512363215515
2017-11-30,7.294620425782363e-23,0.6,0.14320070912063387,0.25679929087936615
2018-01-31,0.004579733803503851,0.6,0.20368288952753374,0.19173737666896248
2018-02-28,0.015541188124528862,0.6,0.16866269760581892,0.21579611426965226
2018-04-30,0.0,1.520261183744534e-23,0.5999999999999999,0.40000000000000013
2018-05-31,0.0,0.011442919564854746,0.5999999999999998,0.3885570804351454
2018-07-31,0.0,0.6,0.21220168136035292,0.1877983186396471
2018-08-31,0.0,0.6,0.26302016929591254,0.13697983070408745
2018-10-31,0.0,1.9976817649070088e-23,0.5911179543345758,0.40888204566542424
2018-11-30,4.474081968642978e-23,2.6501375353109024e-23,0.582610489422346,0.41738951057765405
2018-12-31,0.0,4.626145012138587e-24,0.48092855787494615,0.5190714421250539
2019-01-31,5.126734991540367e-23,0.6,0.2675015955105546,0.13249840448944547
2019-02-28,0.0,0.6000000000000001,0.3039133972266974,0.09608660277330267
2019-04-30,2.136351171942887e-23,0.6,0.30760174937872997,0.09239825062127002
2019-05-31,4.3233961900082444e-23,0.6,0.22440056591871826,0.17559943408128176
2019-07-31,0.0,0.6,0.2667874244469921,0.13321257555300792
2019-09-30,4.1536004598144e-23,0.6,0.16654649468545507,0.23345350531454495
2019-10-31,0.0,0.6,0.19689442377690408,0.20310557622309594
2019-12-31,2.5809674007846623e-23,0.6000000000000001,0.2635050367053702,0.1364949632946299
2020-01-31,2.6915347804369495e-23,0.6,0.20482215113668828,0.19517784886331174
2020-03-31,1.6390360372221177e-23,2.4477980691729994e-23,0.4,0.6
2020-04-30,0.003720086719088002,0.6,0.018847073185554165,0.3774328400953579
2020-06-30,0.044194150489372606,0.6,0.024712034549297563,0.3310938149613299
2020-07-31,0.10670719506549178,0.6,0.005486807118618347,0.28780599781588995
2020-08-31,0.09841978104230144,0.6,0.05956776782256941,0.2420124511351292
2020-09-30,0.06509024757844216,0.6,0.03258506892188468,0.3023246834996732
2020-11-30,0.0,0.0,0.4061484516863271,0.5938515483136728
2020-12-31,0.1041935629979966,0.6,0.039892070678832374,0.25591436632317105
2021-03-31,0.0,0.0,0.44694723305166817,0.5530527669483318
2021-04-30,0.09292536190888173,0.6,0.09268964537762273,0.21438499271349554
2021-06-30,0.0,0.6,0.1176273825083237,0.2823726174916763
2021-08-31,0.0,0.6,0.123884449406102,0.27611555059389803
2021-09-30,5.96889227854963e-23,1.8249580270779722e-24,0.44901605427983793,0.5509839457201621
2021-11-30,0.0,1.768500851941114e-23,0.44924507163938315,0.5507549283606169
2021-12-31,0.0,0.6,0.14735316956147587,0.25264683043852415
2022-01-31,0.0,1.0842336443591217e-23,0.4371867375838558,0.5628132624161443
2022-02-28,0.0,0.0,0.4319048463839058,0.5680951536160942
2022-03-31,6.224358294747552e-25,5.717470345533949e-24,0.45952898333004183,0.5404710166699581
2022-05-31,0.0,0.0,0.46147539288743067,0.5385246071125693
2022-06-30,2.17642008077618e-23,0.0,0.43923878989548387,0.5607612101045162
2022-08-31,0.0,0.0,0.44005020937012973,0.5599497906298703
2022-09-30,6.736343588396639e-23,0.0,0.43820758649758124,0.5617924135024188
2022-10-31,6.150388285256132e-23,2.784134430428205e-23,0.4689989433202307,0.5310010566797693
2022-11-30,0.02031852919419956,0.0,0.4554598095962523,0.524221661209548
2023-01-31,0.038745720708966425,0.6,0.17375991786241135,0.18749436142862222
2023-02-28,0.05811562172736632,0.0,0.420638937348795,0.5212454409238387
