Date,ret,equity,spy_equity
2023-03-14,-0.0020824153665583225,1.863956453964223,3.775395168805242
2023-03-15,0.007782046314262863,1.8784618494167418,3.751782545429551
2023-03-16,0.0033398142207974038,1.8847355630146492,3.817607657773189
2023-03-17,0.004486141510240277,1.893190753459715,3.77297077924548
2023-03-20,-0.0005583819571056501,1.8921336299016238,3.8092499177825045
2023-03-21,-0.00011817604884597956,1.8919100250253533,3.859267061006459
2023-03-22,0.0006525346873816175,1.8931445619420872,3.793480281337501
2023-03-23,0.0018597449997234117,1.8966653280749124,3.8037354887248767
2023-03-24,0.0042934937468962885,1.9048086488009572,3.8286955360383494
2023-03-27,-0.012145254280654274,1.88167426340528,3.8358549236038995
2023-03-28,0.0004769926314018941,1.882571808163623,3.8272446747244455
2023-03-29,0.004732693003846186,1.8914814425893571,3.8828726871478825
2023-03-30,0.0053716608969153765,1.9016418394917556,3.9056082224195716
2023-03-31,0.012734376345904783,1.925858062350962,3.96065637708157
2023-04-03,0.00034269669517054686,1.9265180475442971,3.975748498712972
2023-04-04,-0.0016006497881650924,1.923434366839599,3.9536907824824614
2023-04-05,-0.004907939512171774,1.913994267311518,3.943338830725654
2023-04-06,0.004915642608361838,1.9234027790840749,3.958721185465352
2023-04-10,-0.002964684582164069,1.917700496519633,3.9627847532090756
2023-04-11,-0.003221627265623687,1.9115223803127452,3.963849245500405
2023-04-12,-0.006103121788871502,1.899856126423543,3.9476926315776733
2023-04-13,0.013659558959139406,1.9258073231963078,4.0001283840374295
2023-04-14,-0.003807992089406102,1.918473864143856,3.9903572027247907
2023-04-17,-0.000808681186271013,1.9169224304235701,4.004675369400736
2023-04-18,0.0008852943418527423,1.9186194710049946,4.007287771602979
2023-04-19,-0.0006690539793676197,1.9173358110130265,4.006610561016954
2023-04-20,-0.004215700703499428,1.9092528970856943,3.9847457250701535
2023-04-21,-0.0005124460891117144,1.9082745079054575,3.9878418491195564
2023-04-24,0.0005790700812694152,1.9093795325798346,3.992001857005135
2023-04-25,-0.01219273056145165,1.8860989823995382,3.928633686571979
2023-04-26,0.0008767999272802365,1.8877527138501495,3.91199304657451
2023-04-27,0.018549118493102257,1.922768862625031,3.9898728724224757
2023-04-28,0.008335857138356818,1.938796789173954,4.0239274989177165
2023-05-01,-0.00561449220331833,1.927911429717318,4.01986423540157
2023-05-02,-0.0029216687375168446,1.9222787111644115,3.974684310649219
2023-05-03,-0.004113545367431982,1.9143713304771879,3.947401790014223
2023-05-04,-0.004800396730568421,1.9051815886012713,3.919442971475933
2023-05-05,0.01514832027473399,1.9340418894869298,3.992001857005136
2023-05-08,-0.0005940346324292117,1.9328930016240056,3.9930657408413115
2023-05-09,-0.004956715077987903,1.9233122017387185,3.9755550099741077
2023-05-10,0.008872407937870344,1.9403766121844281,3.9941302331326405
2023-05-11,0.0028603291836859397,1.945926728035601,3.9871646385335318
2023-05-12,-0.0037955572083570024,1.938540851816071,3.9819398341290473
2023-05-15,0.00241721679850618,1.9432267253276712,3.9956781430435537
2023-05-16,-0.0016808953542324764,1.9399603645528476,3.968976088625151
2023-05-17,0.009063845733964427,1.95754386602716,4.0171553930574735
2023-05-18,0.011277162825045423,1.9796194069415172,4.05585405351303
2023-05-19,-0.002327895252977386,1.9750110603213962,4.049952342750096
2023-05-22,0.0014417629735811396,1.977858558140581,4.051597301258019
2023-05-23,-0.009445142515695054,1.9591774021830561,4.006126534942218
2023-05-24,-0.005671957627979063,1.9480650309721796,3.9771029198850214
2023-05-25,0.015375163017968232,1.97801684839298,4.011544828085567
2023-05-26,0.019160206160980908,2.0159160589980836,4.063496554470586
2023-05-30,0.004593731455504173,2.025176636009959,4.065044768609075
2023-05-31,-0.0031470994830599865,2.0188032036656667,4.04250272207625
2023-06-01,0.009793082728090046,2.038573510450898,4.08091114942351
2023-06-02,0.0052427726264832,2.0492612878485637,4.139925823232224
2023-06-05,5.88519492975123e-06,2.0492733481507046,4.131992176483641
2023-06-06,0.0012645782205416031,2.0518648145947123,4.1409897070684005
2023-06-07,-0.013709246029407159,2.0237352950323495,4.126671236164878
2023-06-08,0.01094177588330996,2.0458785530777375,4.151631891933505
2023-06-09,0.0023484926105117447,2.050683283741645,4.159081208379774
2023-06-12,0.01234436036728776,2.075997657195325,4.196811208230703
2023-06-13,0.004198430729725161,2.084713589554131,4.224480706343427
2023-06-14,0.00578711448603429,2.096778065767472,4.229511717781472
2023-06-15,0.011401195927314535,2.1206838433113826,4.281947774468805
2023-06-16,-0.005141710311233459,2.109779901327362,4.2673621917528255
2023-06-20,-0.001392080477490544,2.1068429179149226,4.2452220298489936
2023-06-21,-0.009020712480685278,2.087837693710444,4.223471279243505
2023-06-22,0.005583929482166225,2.0994960321623317,4.2387161231184765
2023-06-23,-0.005999359836916164,2.0869003999892124,4.206671832450931
2023-06-26,-0.008726972693541774,2.0686880771843654,4.189484191270322
2023-06-27,0.011938144316998602,2.0933843739966465,4.235415253909867
2023-06-28,0.001799608509174951,2.0971516463290647,4.237551235726793
